"","year","file","environment","climate","energy","trade"
"1","1975","1975_Rambouillet.txt",0,0,6,6
"2","1976","1976_SanJuan.txt",0,1,3,10
"3","1977","1977_DowningStreet.txt",1,1,20,12
"4","1978","1978_Bonn.txt",2,0,20,6
"5","1979","1979_Tokyo.txt",1,0,13,5
"6","1980","1980_Venice.txt",2,0,30,2
"7","1981","1981_Ottawa.txt",2,0,12,6
"8","1982","1982_Versailles.txt",0,0,6,6
"9","1983","1983_Williamsburg.txt",1,0,5,9
"10","1984","1984_London.txt",6,1,3,6
"11","1985","1985_Bonn.txt",11,0,0,5
"12","1986","1986_Tokyo.txt",6,0,3,10
"13","1987","1987_Venice.txt",11,3,1,14
"14","1988","1988_Toronto.txt",11,3,0,20
"15","1989","1989_Paris.txt",34,7,6,16
"16","1990","1990_Houston.txt",33,7,8,24
"17","1991","1991_London.txt",34,3,14,18
"18","1992","1992_Munich.txt",11,2,13,10
"19","1993","1993_Tokyo.txt",11,1,2,2
"20","1994","1994_Naples.txt",7,2,5,9
"21","1995","1995_Halifax.txt",15,2,7,10
"22","1996","1996_Lyon.txt",11,0,0,27
"23","1997","1997_Denver.txt",26,5,4,7
"24","1998","1998_Birmingham.txt",10,2,10,5
"25","1999","1999_Koln.txt",16,2,2,8
"26","2000","2000_Okinawa.txt",11,2,3,20
"27","2001","2001_Genoa.txt",7,5,12,10
"28","2002","2002_Kananaskis.txt",0,1,0,0
"29","2003","2003_Evian.txt",2,1,1,2
"30","2004","2004_SeaIsland.txt",2,0,3,1
"31","2005","2005_Gleneagles.txt",0,8,6,8
"32","2006","2006_StPetersburg.txt",1,2,32,12
"33","2007","2007_Heiligendamm.txt",5,10,8,6
"34","2008","2008_Hokkaido.txt",2,5,14,2
"35","2009","2009_LaMaddalena.txt",0,14,4,4
"36","2010","2010_Muskoka.txt",5,11,9,6
"37","2011","2011_Deauville.txt",8,9,17,4
"38","2012","2012_CampDavid.txt",4,8,15,8
"39","2013","2013_LoughErne.txt",4,11,1,46
"40","2014","2014_Brussels.txt",4,11,24,11
"41","2015","2015_Elmau.txt",14,23,23,15
"42","2016","2016_IseShima.txt",17,20,39,24
"43","2017","2017_Taormina.txt",6,1,4,4
"44","2018","2018_Charlevoix.txt",9,3,16,4
"45","2019","2019_Biarritz.txt",0,0,0,2
"46","2020","2020_OnlineUS.txt",0,0,0,2
"47","2021","2021_CarbisBay.txt",14,29,15,22
